dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,2105.4802950445664,332612.15097480686,933.2829048948491,2520.357254244099,2436.3650988445843,483.6800393374189,2272.4447233773626,1.0,403.53889826406606,71.19168530800727,6.129390526274479,82475.09191162043,73330.4885862669,30417.290988056462,81170.74426697016,3229.7673953141552,17265.302238269036,84018.22985754094,1.7830802035503577,8261.768572661984,4587.841424329239,99337.47373860262,95.56234056748163,58690.60388786417,4.285938542443389,4991.330180657483,4224.583218868961,176.53621652734716,4077.665057624635
ArrowHead,6393.536284834341,173100.91363611925,1030.3194900874637,485.0650866953938,432.81667772962874,341.2464244577874,412.47009486890164,1.0,95.54886748706976,36.54275905118601,8.763688246834313,17996.41372391653,10239.400436953805,9226.666265382555,13454.071339397178,375.49242018904926,3496.4520688425173,26257.034109149274,2.5993846976993042,1432.3051542714459,1005.3235241662205,17445.144506866414,38.05363830925627,13067.87408596397,15.037720706260028,972.0581861958264,987.0939450686637,34.46076333154984,1023.981942215088
Beef,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BeetleFly,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BirdChicken,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CBF,15319.34665146717,340013.65478918917,1044.245947458599,556.9831358026998,527.2585124884499,418.5390089590008,511.83709638748525,1.0,57.631992054405245,22.862014263446124,6.681045066420206,5730.801387720194,4704.267612045302,2979.2777785441353,6211.3247899797225,255.16801622225594,1573.9355386037269,8416.241485384797,2.078035120632337,695.0080145669237,422.7613286800105,8962.137309809223,24.76811554219028,4520.45783730843,9.822093167616183,408.80290510807936,509.80042210972107,28.930338101609813,422.0154497675638
Car,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ChlorineConcentration,4250.761859504965,501286.05325534346,1118.6415477894313,605.1351607035732,570.1492782073353,454.9379363244808,551.2252067333461,1.0,47.57252711356981,29.309332941751144,7.597535429696514,3346.9040723547973,3261.6839572176486,3172.764532244096,4771.179322662718,345.2028805264783,1566.81561873481,4940.358366622814,2.2316618168414304,598.8714581541494,516.6269460485661,9387.489728459734,43.87823092760025,3231.0564118086004,13.516726652661609,510.3381741681625,455.2004531165246,36.095849728339864,438.21776864086013
CinCECGtorso,3520.0996394267377,1793328.0224962914,4348.787491634032,1081.3091690206816,954.7386321090493,1150.270787891428,944.3359435731772,1.0,163.36567329567296,172.0615651812084,30.449382403357767,47526.64764200652,46753.340679966896,23879.138594023487,58565.89896833545,2352.5874924807435,16147.500110810088,55177.01010859388,2.210869339074351,5774.998018986969,3907.0543195582063,73911.68991718642,291.9426003735882,38491.67188906326,37.63696353217336,4516.115703824983,3397.1209639120934,223.10303529188278,3388.2868669690947
Coffee,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Computers,29237.224463947736,828302.774717287,3801.7465917284662,513.2909069489252,505.56457897862055,799.9601449522902,557.2722078895079,1.0,81.53093848551855,90.32924928408308,21.083426976474428,19495.498223801067,15415.1213252619,13627.282161887846,20370.926903976513,828.2523652444994,7720.79840142096,29258.766266719835,2.720357414724327,3008.510820313917,1847.1025120527786,28601.45896617972,95.91390872512417,15806.9946714032,37.738717511871535,1854.2589081813899,1510.9688983941712,77.99662884692066,2104.5966215971293
DiatomSizeReduction,2548.952421456039,297406.6396804378,3921.8033194170866,890.489682274882,971.5952365352266,842.1993526655439,886.1336790026243,1.0,86.25732846122615,43.26420354581135,10.673271078630396,15173.430531871703,12510.018811747192,9090.221897415075,18454.205305183383,598.7554202192448,4907.795696305318,24834.86092840709,1.9449722560562996,1920.4302882663421,1205.5298416565165,24252.167925294358,48.18549194748951,12523.22850182704,17.898714305048046,1379.1096494789551,1177.906482609284,51.71530653674381,1126.698876708621
DistalPhalanxOutlineAgeGroup,25843.15839971682,224011.427097644,1054.8362854851841,602.9228168939122,578.5469698783784,434.5966049145169,529.3670770363942,1.0,70.61306851196451,15.910068142200625,4.392874121810786,4514.676166076805,3034.315408589087,2753.8203211663413,4768.723126089483,173.77111615868154,1132.1354128149599,5085.553298822038,1.8238339231947598,489.6970313242829,307.6574401774867,6812.240821932281,18.302519676720724,4427.240452168402,7.531694046801544,308.17878083566643,309.08494004542814,21.156753473139297,308.26580740584217
DistalPhalanxOutlineCorrect,4164.34879359553,292941.8919340876,1103.6870824457685,302.40609973613545,281.5977181945578,474.65394330516455,281.4497036252045,1.0,32.886528247223566,15.990601503759398,5.31649651652066,3559.7373422087326,2238.4251396840723,2021.1432020418015,3323.1212837138714,130.26548596261296,881.9181727253916,4724.544802372905,1.8879595778436917,373.8255328688694,219.41015382492932,6788.0132268745265,18.062995792232876,2487.652910947092,8.047699524039455,233.18731461681725,230.15565289370215,14.529092225977788,264.9540939504725
DistalPhalanxTW,5944.3371532051815,223792.02439656484,1033.8848612892357,942.7425851247269,840.128032501889,473.6574806925017,796.47106028103,1.0,69.41276573044198,17.76727747992852,5.013869995465579,8411.472726787762,5265.036222026621,3622.850950894881,9055.448320930356,335.2610759915714,1919.6933397348698,8062.050092022087,1.8158758101944468,870.0544930783389,516.6660798591662,11355.304473073538,20.32655837400976,6049.77749326505,6.26966471953269,508.73489637513006,500.48843722493405,27.267130778053403,511.35283134618976
ECG200,6410.204327214601,96702.28250435845,925.8513167022442,234.0208905724473,216.88006498536842,368.0560508575224,224.15149057311314,1.0,46.41431789127654,17.475558531685632,6.327874840202103,4495.938454982649,4259.996286601326,3872.1234552870255,5650.509709624397,129.11633286662195,1450.2929323674432,6386.965240153403,1.6987885797771953,529.8323491812258,404.43672003409006,7187.288975467215,18.95093443720703,4495.297680647712,7.926401655810554,449.7496804042123,410.03865587143105,11.804346502708949,429.33116211115816
ECG5000,1771.897453153407,415894.00639639795,1115.3998597673594,756.7787401955602,744.1576536145791,467.0720312583081,692.6992355873152,1.0,61.778717097404844,23.526400081906072,5.772571704377587,7793.161983882055,5790.426584370565,3654.669435871934,9971.228712953347,422.1685704952879,2264.141558555528,11007.820962103817,1.8771920843632535,1042.1220059186887,560.4424122313065,11890.870064306015,37.51089643269807,6151.860340397731,11.034563874547203,567.8369508514818,524.5231018999283,41.698519840283154,565.4642245981483
ECGFiveDays,2367.202686514161,323809.88746175676,861.159447358597,218.38450542257587,211.6149725849239,362.63170767151144,202.38719464309227,1.0,31.519587574909067,21.29431083662628,6.670177688221286,4881.124368670348,3560.9142045900617,2430.394159055819,4178.779446785126,171.9721953261979,1192.5758642346848,5697.400282626332,1.873550885824196,487.36360662601743,320.5702117080575,10007.825779185096,24.122811608614875,3510.055543924843,10.397861984141525,335.2721979431084,308.0224792609846,18.16619998429854,315.0863711302437
Earthquakes,29933.30424875435,605441.8048307847,2985.835253023257,484.41827174779786,458.57334824496434,884.8633478677749,592.2967012824754,1.0,75.26626122679124,65.27719602078214,18.045773087921376,12142.611281163156,10636.042953804019,8595.159430504653,14399.814390430543,553.8467719199323,4051.4369084538234,40645.18965725563,2.8855169358411534,1219.3751862741149,1325.170325023158,34862.25669579927,68.63788312054452,10523.917616496838,28.74237786459382,1371.202484997382,1313.0027790084175,56.407003906721975,1326.9464537436058
ElectricDevices,2207.198288329649,384293.1684426999,1275.986920249108,1111.1822825398037,1089.8053150327216,569.5295414698626,1030.7394418667996,1.0,72.0035174066312,19.243929344579826,5.201908635470652,9114.008175920395,8171.9448047688265,3956.619297485421,10337.889001004727,458.3556628952012,2184.958674140544,9431.676225093308,1.771757857411672,1056.3538692336112,580.1138931951344,13824.691844968253,34.96623462267506,7017.336978776443,6.470665260279459,598.0197181931492,564.5510761969541,47.802199177574224,556.8005496649185
FaceAll,6442.550378183992,388430.0638548397,1167.6598732375953,1520.8108342643063,1488.109481708648,540.5314647368272,1398.8861740349516,1.0,156.54704407421852,26.353312531342286,5.709901376274588,23036.650186660736,18710.99043294144,10405.177645288906,25144.580509277315,1089.6354822533015,5957.025391430324,26122.752108987577,2.0422633309188165,2797.835281662673,1703.9803086866889,31060.49705800413,58.491252019836175,17810.71549562601,4.209483479133002,1731.9278486655153,1442.3655597035718,91.49852343009975,1444.6343901487717
FaceFour,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FacesUCR,1725.4685211093781,381985.58434963075,1091.3473475649507,1442.922612799071,1406.3115201280445,507.12436217473515,1313.8627258933689,1.0,156.77134913715105,24.886944028602606,5.832623203426171,23412.006602288868,17603.601559543982,9736.538344273173,22795.112036016475,1160.4272020881658,5384.841857634034,25786.21459083905,2.1006794215868525,3128.6507476927636,1792.9256748975931,29138.59823098141,56.581895251725975,16881.511392238473,4.362747517287139,1829.978904480673,1465.5080472250097,90.71666090885661,1378.0525167113583
FiftyWords,1676.9944364869102,487091.6019140459,6177.2205948211085,8005.798590947966,7525.56392572508,1775.4765179277997,6282.409129691998,1.0,694.9019371686496,80.45469996960863,10.247554620051552,123294.06824551725,115080.53264821423,58835.78556072084,149389.30866379265,6572.90442475884,33260.366643779336,144056.97577694984,2.6901430645760405,16773.86763994102,8584.380432457987,192515.9488637003,101.26128701838117,102051.79158271519,5.288312828536375,8197.433538568905,8318.848729753154,190.43235668216252,8192.505689940455
Fish,2999.435842697861,397489.70951141184,4754.032575086924,1263.402791613168,1203.0130565815282,749.1479355367303,1167.266267781893,1.0,150.2894279039714,62.299169938863756,12.596823897808044,31841.65930215219,26948.694641880807,16066.95693125901,35853.95598687807,1375.95531587057,8952.500546746856,40718.10743575724,2.196580346935732,4111.889706247825,2399.465082757592,46591.23567274715,77.31502559769372,24195.868184303396,18.72269993538446,2413.409786768726,2569.7704657289128,104.9783289427904,2445.108578955216
FordA,905.8729614543889,880817.6384015672,2861.799384560865,575.1465071966502,487.5966995273106,817.0754789609691,479.2663465109736,1.0,59.49804943810569,61.333076122938216,15.600146448795735,8232.234901719969,7841.005161514399,6513.7545783151945,11147.690103248191,509.47365085389674,2872.60589698097,18044.73368519238,2.093172227722506,1505.8511772298975,1014.2987913498533,24081.345234237506,83.60612972355553,7731.396722268274,18.728346435547312,1266.832375209692,758.4290609552829,48.89348446085181,794.6124871767787
FordB,2155.1511710203145,930328.7874607265,2846.8672474086234,539.60624294656,582.5413925256684,889.8562709822219,518.7795324656894,1.0,61.20553208322111,62.15633205965527,16.269187230676003,9584.43071008955,7538.938993906543,6484.186464785887,13032.941226349985,499.4314549387288,3949.1242488385396,19302.983160937918,2.278253770535955,2009.6666147656879,1182.362388062214,25851.869026477914,92.47561144963642,8104.0313152269055,21.58827935631565,1218.4077207615135,928.2889678157823,53.78002752154592,1048.9419859278212
GunPoint,4596.621052131307,98993.74960367146,711.6065848246251,182.05337657269436,166.36420602967155,287.6056583388109,162.84616082434192,1.0,48.36018696728073,21.720878013014392,5.7971771606635505,5922.670424342407,6117.712446155256,4215.93249931262,8015.6133718266,153.19622399413436,1671.2141875171847,6661.816698744385,1.6995692420493083,617.8445605352397,487.08624324076624,8631.065667674824,23.723490055906883,5447.816423792502,9.459261295939877,486.0345064613693,490.8015305654844,11.326826138759051,507.0850517826048
Ham,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HandOutlines,14585.300846239925,2377000.9342500665,5420.56309616857,622.9149086551611,549.2959163512683,925.5188768976194,595.87336662104,1.0,113.98800745389902,221.14787377149764,44.43728016523572,41278.79113458556,25990.652303811166,21906.09091013021,36685.19261621947,1591.9175726812318,12244.16419537142,56827.59444844577,2.0790662047993056,4089.0566778322723,2577.4723089176227,78616.55004896862,377.8770830713418,31314.80665592025,88.93868062938957,3126.975408992695,2565.360146029351,152.12099248131764,2548.944118622172
Haptics,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Herring,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
InlineSkate,3868.315408913867,1441930.2129944128,3474.2317065239454,1195.1529980308983,1062.1511307479425,1121.2561464320145,1105.9938348336273,1.0,271.00018552562784,205.31270344571686,30.716137356428458,82506.35045791099,41320.31486228938,44078.18205967178,101883.72843264576,3968.4960617969004,28459.17828169536,54146.70121940935,1.9179217756489177,11442.551786949112,6137.016553945791,126457.4464083925,313.2733298477003,67126.65109375792,58.89519488623905,7470.026209711424,6084.059199541244,288.13625170767904,6471.508795601355
InsectWingbeatSound,1012.2211694438862,516763.0500714999,1006.0857125860011,977.7416600345219,939.7638916916875,408.3272044124899,891.7743032767678,1.0,160.02567177969982,39.131868278316034,8.109030655987493,26494.996401775126,24874.548373913316,11998.597367520913,33860.19867087792,1378.1255291833809,7265.201154097313,31067.275628467738,2.2455721843890353,3293.5213250352053,1669.9930523164128,42729.620991422016,91.97933908160864,21236.463744552686,6.497967669283153,1833.1526935600662,1777.2413875821264,122.65460150770068,1831.7536282100832
ItalyPowerDemand,3553.1930229273635,166298.75024390343,898.8494353135518,252.42229503963492,237.0604122260821,407.678539314761,229.0827684761809,1.0,14.648623108354517,5.234051615135826,2.2534305830993038,985.4942568511838,814.3872998549239,1001.4024596382415,1217.0454261110299,40.090133496599364,285.5946787696485,2578.7755580104613,1.5649182117045772,152.45939866636496,134.41992200497782,1766.2778140098224,7.720096362450588,1113.3077342845354,3.1650539709581675,133.75269189304302,110.33187813610529,5.060905327885217,122.77124565770033
LargeKitchenAppliances,17876.82823841395,901528.3567593313,2576.322746125732,882.7799988397464,831.3690905567206,769.9488627993521,797.526308931676,1.0,95.54653798749891,89.73228277137072,19.37647460163747,20413.40460207765,14250.043456730345,11005.900629456819,15176.345816092966,924.5516000528216,7068.960548903952,23544.51865261027,2.2983757373008187,3234.591172198257,1753.618122193856,33676.15386477683,103.56720441940311,17452.785874636855,25.84484769786073,1757.3112399859142,1481.6452592657806,101.22788097543798,2187.4185557707547
